learner_id,intervention_id,intervention_number,timestamp,intervention_type,completed,mastery_before,mastery_after,improvement,retained_mastery,retention_rate,retention_success,data_source
learner_0001,intervention_0001_01,1,2026-01-01T09:00:00,peer_discussion,False,0.1466,0.1585,0.0119,0.1539,0.6121,False,[SANDBOX DATA]
learner_0001,intervention_0001_02,2,2026-01-06T09:00:00,targeted_practice,True,0.1585,0.3168,0.1583,0.2982,0.8822,True,[SANDBOX DATA]
learner_0001,intervention_0001_03,3,2026-01-12T09:00:00,peer_discussion,False,0.3168,0.3338,0.017,0.3261,0.5469,False,[SANDBOX DATA]
learner_0002,intervention_0002_01,1,2026-01-01T09:00:00,worked_example,True,0.245,0.3765,0.1315,0.3512,0.8076,True,[SANDBOX DATA]
learner_0002,intervention_0002_02,2,2026-01-07T09:00:00,peer_discussion,True,0.3765,0.4455,0.069,0.4351,0.8492,True,[SANDBOX DATA]
learner_0002,intervention_0002_03,3,2026-01-12T09:00:00,targeted_practice,True,0.4455,0.5722,0.1267,0.5453,0.7875,True,[SANDBOX DATA]
learner_0003,intervention_0003_01,1,2026-01-01T09:00:00,video_lesson,True,0.1621,0.2391,0.077,0.2292,0.872,True,[SANDBOX DATA]
learner_0003,intervention_0003_02,2,2026-01-08T09:00:00,worked_example,False,0.2391,0.2391,0.0,0.2391,0.7152,True,[SANDBOX DATA]
learner_0003,intervention_0003_03,3,2026-01-14T09:00:00,adaptive_quiz,True,0.2391,0.3403,0.1012,0.3238,0.8375,True,[SANDBOX DATA]
learner_0003,intervention_0003_04,4,2026-01-17T09:00:00,peer_discussion,True,0.3403,0.4152,0.0749,0.4021,0.8254,True,[SANDBOX DATA]
learner_0004,intervention_0004_01,1,2026-01-01T09:00:00,peer_discussion,True,0.5684,0.6092,0.0408,0.6068,0.9396,True,[SANDBOX DATA]
learner_0004,intervention_0004_02,2,2026-01-05T09:00:00,peer_discussion,True,0.6092,0.6352,0.0259,0.6298,0.7932,True,[SANDBOX DATA]
learner_0004,intervention_0004_03,3,2026-01-10T09:00:00,peer_discussion,True,0.6352,0.6768,0.0417,0.672,0.8835,True,[SANDBOX DATA]
learner_0004,intervention_0004_04,4,2026-01-15T09:00:00,targeted_practice,True,0.6768,0.7374,0.0606,0.7256,0.8047,True,[SANDBOX DATA]
learner_0004,intervention_0004_05,5,2026-01-22T09:00:00,adaptive_quiz,True,0.7374,0.7653,0.0279,0.7614,0.8598,True,[SANDBOX DATA]
learner_0005,intervention_0005_01,1,2026-01-01T09:00:00,video_lesson,True,0.5037,0.5633,0.0596,0.5494,0.767,True,[SANDBOX DATA]
