item_id,question_index,difficulty_b,discrimination_a,source_difficulty,competency,data_source
item_0001,1,1.3965,1.0728,medium,Population and housing census methodology,[SANDBOX DATA]
item_0002,2,0.5998,1.7253,medium,Population and housing census methodology,[SANDBOX DATA]
item_0003,3,1.924,0.875,medium,Population and housing census methodology,[SANDBOX DATA]
item_0004,4,0.8426,1.3318,medium,Population and housing census methodology,[SANDBOX DATA]
item_0005,5,-1.0755,1.6447,medium,Population and housing census methodology,[SANDBOX DATA]
item_0006,6,-0.8688,1.9196,medium,Population and housing census methodology,[SANDBOX DATA]
item_0007,7,0.0045,1.0244,medium,Population and housing census methodology,[SANDBOX DATA]
item_0008,8,-0.2208,1.9918,medium,Population and housing census methodology,[SANDBOX DATA]
item_0009,9,1.6623,1.8962,medium,Population and housing census methodology,[SANDBOX DATA]
item_0010,10,-0.8718,1.6871,medium,Population and housing census methodology,[SANDBOX DATA]
item_0011,11,0.3906,1.7446,medium,Population and housing census methodology,[SANDBOX DATA]
item_0012,12,-0.0886,1.5583,medium,Population and housing census methodology,[SANDBOX DATA]
item_0013,13,-2.5371,0.6188,easy,Population and housing census methodology,[SANDBOX DATA]
item_0014,14,0.8255,1.3232,easy,Population and housing census methodology,[SANDBOX DATA]
item_0015,15,-0.5202,0.6668,easy,Population and housing census methodology,[SANDBOX DATA]
item_0016,16,-0.6674,0.5716,medium,Population and housing census methodology,[SANDBOX DATA]
item_0017,17,0.1687,1.1857,medium,Population and housing census methodology,[SANDBOX DATA]
item_0018,18,-0.5169,1.2731,medium,Population and housing census methodology,[SANDBOX DATA]
item_0019,19,0.2593,1.1439,easy,Population and housing census methodology,[SANDBOX DATA]
item_0020,20,0.3084,1.1249,easy,Population and housing census methodology,[SANDBOX DATA]
item_0021,21,-1.5649,1.962,easy,Population and housing census methodology,[SANDBOX DATA]
item_0022,22,-0.3547,1.261,medium,Population and housing census methodology,[SANDBOX DATA]
item_0023,23,-0.997,1.4535,medium,Population and housing census methodology,[SANDBOX DATA]
item_0024,24,1.7589,1.4424,medium,Population and housing census methodology,[SANDBOX DATA]
item_0025,25,-1.7219,0.9988,easy,Population and housing census methodology,[SANDBOX DATA]
item_0026,26,-0.1992,1.7203,easy,Population and housing census methodology,[SANDBOX DATA]
item_0027,27,0.8737,1.4476,easy,Population and housing census methodology,[SANDBOX DATA]
item_0028,28,2.4262,0.9402,medium,Population and housing census methodology,[SANDBOX DATA]
item_0029,29,-1.7154,1.3145,medium,Population and housing census methodology,[SANDBOX DATA]
item_0030,30,-1.1196,0.7867,medium,Population and housing census methodology,[SANDBOX DATA]
item_0031,31,-0.3293,1.7987,easy,Population and housing census methodology,[SANDBOX DATA]
item_0032,32,1.1038,1.052,easy,Population and housing census methodology,[SANDBOX DATA]
item_0033,33,-0.013,1.9606,easy,Population and housing census methodology,[SANDBOX DATA]
item_0034,34,0.1663,1.8865,easy,Population and housing census methodology,[SANDBOX DATA]
item_0035,35,-1.8171,1.5906,easy,Population and housing census methodology,[SANDBOX DATA]
item_0036,36,0.1149,1.7335,medium,Population and housing census methodology,[SANDBOX DATA]
item_0037,37,0.3981,0.6201,medium,Population and housing census methodology,[SANDBOX DATA]
item_0038,38,-0.4086,1.4039,medium,Population and housing census methodology,[SANDBOX DATA]
item_0039,39,0.3705,1.0273,easy,Population and housing census methodology,[SANDBOX DATA]
item_0040,40,-1.5616,1.7016,easy,Population and housing census methodology,[SANDBOX DATA]
item_0041,41,0.754,1.672,medium,Population and housing census methodology,[SANDBOX DATA]
item_0042,42,0.2921,1.0743,medium,Population and housing census methodology,[SANDBOX DATA]
item_0043,43,1.2261,1.5186,medium,Population and housing census methodology,[SANDBOX DATA]
item_0044,44,0.2695,1.6446,easy,Population and housing census methodology,[SANDBOX DATA]
item_0045,45,0.3419,1.0971,easy,Population and housing census methodology,[SANDBOX DATA]
item_0046,46,0.8071,0.6702,easy,Population and housing census methodology,[SANDBOX DATA]
item_0047,47,0.1433,1.0805,medium,Population and housing census methodology,[SANDBOX DATA]
item_0048,48,-0.0172,0.8904,medium,Population and housing census methodology,[SANDBOX DATA]
item_0049,49,-0.812,1.7792,medium,Population and housing census methodology,[SANDBOX DATA]
item_0050,50,0.8712,1.1677,easy,Population and housing census methodology,[SANDBOX DATA]
item_0051,51,-1.6302,1.0211,easy,Population and housing census methodology,[SANDBOX DATA]
item_0052,52,2.0916,1.837,easy,Population and housing census methodology,[SANDBOX DATA]
item_0053,53,1.1451,1.891,medium,Population and housing census methodology,[SANDBOX DATA]
item_0054,54,-0.813,1.2631,medium,Population and housing census methodology,[SANDBOX DATA]
item_0055,55,0.1468,0.7083,medium,Population and housing census methodology,[SANDBOX DATA]
item_0056,56,0.2283,1.7055,hard,Population and housing census methodology,[SANDBOX DATA]
item_0057,57,0.7916,0.6293,hard,Population and housing census methodology,[SANDBOX DATA]
item_0058,58,-0.2683,1.6537,hard,Population and housing census methodology,[SANDBOX DATA]
item_0059,59,0.2932,1.0168,easy,Population and housing census methodology,[SANDBOX DATA]
item_0060,60,-1.2946,1.9494,easy,Population and housing census methodology,[SANDBOX DATA]
item_0061,61,-0.7612,0.5831,easy,Population and housing census methodology,[SANDBOX DATA]
item_0062,62,-1.0467,0.747,medium,Population and housing census methodology,[SANDBOX DATA]
item_0063,63,0.7919,1.019,hard,Population and housing census methodology,[SANDBOX DATA]
item_0064,64,0.0997,1.4526,hard,Population and housing census methodology,[SANDBOX DATA]
item_0065,65,0.1155,0.9542,hard,Population and housing census methodology,[SANDBOX DATA]
item_0066,66,0.9747,0.753,medium,Population and housing census methodology,[SANDBOX DATA]
item_0067,67,1.3466,1.4077,medium,Population and housing census methodology,[SANDBOX DATA]
item_0068,68,0.5734,1.7379,medium,Population and housing census methodology,[SANDBOX DATA]
item_0069,69,0.785,1.4767,easy,Population and housing census methodology,[SANDBOX DATA]
item_0070,70,-0.009,1.4585,easy,Population and housing census methodology,[SANDBOX DATA]
item_0071,71,1.5151,0.9345,easy,Population and housing census methodology,[SANDBOX DATA]
item_0072,72,0.4517,1.707,hard,Population and housing census methodology,[SANDBOX DATA]
item_0073,73,-1.3472,0.6095,hard,Population and housing census methodology,[SANDBOX DATA]
item_0074,74,-1.2909,1.2264,hard,Population and housing census methodology,[SANDBOX DATA]
item_0075,75,1.4094,0.9689,medium,Population and housing census methodology,[SANDBOX DATA]
item_0076,76,-0.5067,1.7912,medium,Population and housing census methodology,[SANDBOX DATA]
item_0077,77,-0.0785,0.9787,medium,Population and housing census methodology,[SANDBOX DATA]
item_0078,78,-0.9745,0.8719,easy,Population and housing census methodology,[SANDBOX DATA]
item_0079,79,0.2633,1.0762,easy,Population and housing census methodology,[SANDBOX DATA]
item_0080,80,-0.868,1.798,hard,Population and housing census methodology,[SANDBOX DATA]
item_0081,81,-1.3564,1.3665,hard,Population and housing census methodology,[SANDBOX DATA]
item_0082,82,0.0504,1.2474,easy,Population and housing census methodology,[SANDBOX DATA]
item_0083,83,0.2804,0.9628,easy,Population and housing census methodology,[SANDBOX DATA]
item_0084,84,-0.2658,0.8227,easy,Population and housing census methodology,[SANDBOX DATA]
item_0085,85,1.8971,1.2423,medium,Population and housing census methodology,[SANDBOX DATA]
item_0086,86,0.4119,1.2059,medium,Population and housing census methodology,[SANDBOX DATA]
item_0087,87,0.7139,1.1464,medium,Population and housing census methodology,[SANDBOX DATA]
item_0088,88,0.1497,1.1009,hard,Population and housing census methodology,[SANDBOX DATA]
item_0089,89,-1.4758,1.3298,hard,Population and housing census methodology,[SANDBOX DATA]
