learner_id,theta,data_source
learner_0001,0.2453,[SANDBOX DATA]
learner_0002,-0.4968,[SANDBOX DATA]
learner_0003,1.2548,[SANDBOX DATA]
learner_0004,-0.1381,[SANDBOX DATA]
learner_0005,-0.9758,[SANDBOX DATA]
learner_0006,0.5651,[SANDBOX DATA]
learner_0007,-1.1676,[SANDBOX DATA]
learner_0008,1.738,[SANDBOX DATA]
learner_0009,-0.3245,[SANDBOX DATA]
learner_0010,1.1823,[SANDBOX DATA]
learner_0011,1.5044,[SANDBOX DATA]
learner_0012,1.9495,[SANDBOX DATA]
learner_0013,2.3118,[SANDBOX DATA]
learner_0014,-0.4652,[SANDBOX DATA]
learner_0015,1.4813,[SANDBOX DATA]
learner_0016,1.4682,[SANDBOX DATA]
learner_0017,0.3678,[SANDBOX DATA]
learner_0018,-0.6569,[SANDBOX DATA]
learner_0019,-0.9396,[SANDBOX DATA]
learner_0020,-0.948,[SANDBOX DATA]
learner_0021,0.3665,[SANDBOX DATA]
learner_0022,-0.2817,[SANDBOX DATA]
learner_0023,0.6497,[SANDBOX DATA]
learner_0024,-2.0828,[SANDBOX DATA]
learner_0025,-0.9305,[SANDBOX DATA]
learner_0026,0.3098,[SANDBOX DATA]
learner_0027,-0.4324,[SANDBOX DATA]
learner_0028,0.9421,[SANDBOX DATA]
learner_0029,0.4412,[SANDBOX DATA]
learner_0030,1.3142,[SANDBOX DATA]
learner_0031,-0.5354,[SANDBOX DATA]
learner_0032,0.1428,[SANDBOX DATA]
learner_0033,1.4202,[SANDBOX DATA]
learner_0034,-0.2211,[SANDBOX DATA]
learner_0035,-1.7975,[SANDBOX DATA]
learner_0036,0.8671,[SANDBOX DATA]
learner_0037,-1.2109,[SANDBOX DATA]
learner_0038,0.6732,[SANDBOX DATA]
learner_0039,-1.1141,[SANDBOX DATA]
learner_0040,-1.179,[SANDBOX DATA]
learner_0041,-1.719,[SANDBOX DATA]
learner_0042,0.8753,[SANDBOX DATA]
learner_0043,0.0012,[SANDBOX DATA]
learner_0044,-0.9577,[SANDBOX DATA]
learner_0045,0.2207,[SANDBOX DATA]
learner_0046,0.9777,[SANDBOX DATA]
learner_0047,1.0178,[SANDBOX DATA]
learner_0048,-0.3505,[SANDBOX DATA]
learner_0049,-1.3829,[SANDBOX DATA]
learner_0050,0.5232,[SANDBOX DATA]
learner_0051,-0.0942,[SANDBOX DATA]
learner_0052,-0.1673,[SANDBOX DATA]
learner_0053,0.2496,[SANDBOX DATA]
learner_0054,-0.7449,[SANDBOX DATA]
learner_0055,-0.2201,[SANDBOX DATA]
learner_0056,-0.8386,[SANDBOX DATA]
learner_0057,-0.6747,[SANDBOX DATA]
learner_0058,-0.5937,[SANDBOX DATA]
learner_0059,-1.9951,[SANDBOX DATA]
learner_0060,-1.3578,[SANDBOX DATA]
learner_0061,-0.565,[SANDBOX DATA]
learner_0062,1.7418,[SANDBOX DATA]
learner_0063,-0.2177,[SANDBOX DATA]
learner_0064,0.6516,[SANDBOX DATA]
learner_0065,-1.2154,[SANDBOX DATA]
learner_0066,-0.246,[SANDBOX DATA]
learner_0067,1.2031,[SANDBOX DATA]
learner_0068,-0.2528,[SANDBOX DATA]
learner_0069,0.8258,[SANDBOX DATA]
learner_0070,-0.9639,[SANDBOX DATA]
learner_0071,-0.1858,[SANDBOX DATA]
learner_0072,-0.7036,[SANDBOX DATA]
learner_0073,0.0909,[SANDBOX DATA]
learner_0074,0.7175,[SANDBOX DATA]
learner_0075,-0.0313,[SANDBOX DATA]
learner_0076,-0.1803,[SANDBOX DATA]
learner_0077,-1.8654,[SANDBOX DATA]
learner_0078,-0.1338,[SANDBOX DATA]
learner_0079,0.3398,[SANDBOX DATA]
learner_0080,-0.842,[SANDBOX DATA]
learner_0081,0.2872,[SANDBOX DATA]
learner_0082,-1.827,[SANDBOX DATA]
learner_0083,0.0332,[SANDBOX DATA]
learner_0084,-0.8847,[SANDBOX DATA]
learner_0085,0.502,[SANDBOX DATA]
learner_0086,-0.5161,[SANDBOX DATA]
learner_0087,0.8882,[SANDBOX DATA]
learner_0088,0.426,[SANDBOX DATA]
learner_0089,-0.3328,[SANDBOX DATA]
learner_0090,0.5986,[SANDBOX DATA]
learner_0091,-1.7877,[SANDBOX DATA]
learner_0092,-0.7419,[SANDBOX DATA]
learner_0093,0.4208,[SANDBOX DATA]
learner_0094,-1.2709,[SANDBOX DATA]
learner_0095,-1.3537,[SANDBOX DATA]
learner_0096,-0.9304,[SANDBOX DATA]
learner_0097,-0.2658,[SANDBOX DATA]
learner_0098,1.9313,[SANDBOX DATA]
learner_0099,0.7765,[SANDBOX DATA]
learner_0100,-1.5089,[SANDBOX DATA]
learner_0101,-0.9883,[SANDBOX DATA]
learner_0102,0.4688,[SANDBOX DATA]
learner_0103,0.3129,[SANDBOX DATA]
learner_0104,-0.2078,[SANDBOX DATA]
learner_0105,-0.1813,[SANDBOX DATA]
learner_0106,0.3187,[SANDBOX DATA]
learner_0107,0.9231,[SANDBOX DATA]
learner_0108,-0.1253,[SANDBOX DATA]
learner_0109,1.5249,[SANDBOX DATA]
learner_0110,1.3749,[SANDBOX DATA]
learner_0111,-0.6919,[SANDBOX DATA]
learner_0112,0.8664,[SANDBOX DATA]
learner_0113,-0.4789,[SANDBOX DATA]
learner_0114,-0.4234,[SANDBOX DATA]
learner_0115,0.7271,[SANDBOX DATA]
learner_0116,0.5527,[SANDBOX DATA]
learner_0117,-2.5962,[SANDBOX DATA]
learner_0118,-0.098,[SANDBOX DATA]
learner_0119,0.656,[SANDBOX DATA]
learner_0120,-2.172,[SANDBOX DATA]
learner_0121,1.1111,[SANDBOX DATA]
learner_0122,0.4043,[SANDBOX DATA]
learner_0123,1.0803,[SANDBOX DATA]
learner_0124,-1.1881,[SANDBOX DATA]
learner_0125,0.5713,[SANDBOX DATA]
learner_0126,0.3729,[SANDBOX DATA]
learner_0127,-0.4652,[SANDBOX DATA]
learner_0128,-1.4449,[SANDBOX DATA]
learner_0129,0.2351,[SANDBOX DATA]
learner_0130,1.2602,[SANDBOX DATA]
learner_0131,-0.2505,[SANDBOX DATA]
learner_0132,0.4207,[SANDBOX DATA]
learner_0133,-2.1004,[SANDBOX DATA]
learner_0134,0.5388,[SANDBOX DATA]
learner_0135,-0.553,[SANDBOX DATA]
learner_0136,-0.2377,[SANDBOX DATA]
learner_0137,-1.1033,[SANDBOX DATA]
learner_0138,1.7973,[SANDBOX DATA]
learner_0139,-0.7554,[SANDBOX DATA]
learner_0140,-0.2864,[SANDBOX DATA]
learner_0141,0.4961,[SANDBOX DATA]
learner_0142,-0.1262,[SANDBOX DATA]
learner_0143,-0.4655,[SANDBOX DATA]
learner_0144,0.6116,[SANDBOX DATA]
learner_0145,-1.47,[SANDBOX DATA]
learner_0146,0.3431,[SANDBOX DATA]
learner_0147,2.1951,[SANDBOX DATA]
learner_0148,0.3823,[SANDBOX DATA]
learner_0149,-0.834,[SANDBOX DATA]
learner_0150,-0.3964,[SANDBOX DATA]
learner_0151,-1.7264,[SANDBOX DATA]
learner_0152,-0.0128,[SANDBOX DATA]
learner_0153,1.8723,[SANDBOX DATA]
learner_0154,-1.1741,[SANDBOX DATA]
learner_0155,0.0324,[SANDBOX DATA]
learner_0156,-0.3761,[SANDBOX DATA]
learner_0157,3.2776,[SANDBOX DATA]
learner_0158,1.7336,[SANDBOX DATA]
learner_0159,0.7596,[SANDBOX DATA]
learner_0160,1.2543,[SANDBOX DATA]
learner_0161,-0.0586,[SANDBOX DATA]
learner_0162,-1.1967,[SANDBOX DATA]
learner_0163,0.9526,[SANDBOX DATA]
learner_0164,0.2998,[SANDBOX DATA]
learner_0165,-1.0148,[SANDBOX DATA]
learner_0166,-0.5757,[SANDBOX DATA]
learner_0167,0.0799,[SANDBOX DATA]
learner_0168,-1.5064,[SANDBOX DATA]
learner_0169,0.3784,[SANDBOX DATA]
learner_0170,-0.3466,[SANDBOX DATA]
learner_0171,-0.1822,[SANDBOX DATA]
learner_0172,-1.4396,[SANDBOX DATA]
learner_0173,0.4737,[SANDBOX DATA]
learner_0174,-1.0316,[SANDBOX DATA]
learner_0175,-0.5502,[SANDBOX DATA]
learner_0176,0.1995,[SANDBOX DATA]
learner_0177,-0.6142,[SANDBOX DATA]
learner_0178,-0.1134,[SANDBOX DATA]
learner_0179,-0.8762,[SANDBOX DATA]
learner_0180,-0.1966,[SANDBOX DATA]
learner_0181,-0.0641,[SANDBOX DATA]
learner_0182,0.2155,[SANDBOX DATA]
learner_0183,-0.4174,[SANDBOX DATA]
learner_0184,-1.161,[SANDBOX DATA]
learner_0185,-1.2426,[SANDBOX DATA]
learner_0186,-0.7348,[SANDBOX DATA]
learner_0187,0.7218,[SANDBOX DATA]
learner_0188,2.5722,[SANDBOX DATA]
learner_0189,-0.4629,[SANDBOX DATA]
learner_0190,1.1774,[SANDBOX DATA]
learner_0191,1.0593,[SANDBOX DATA]
learner_0192,-1.9399,[SANDBOX DATA]
learner_0193,0.1403,[SANDBOX DATA]
learner_0194,1.468,[SANDBOX DATA]
learner_0195,-1.4511,[SANDBOX DATA]
learner_0196,0.4803,[SANDBOX DATA]
learner_0197,-0.9998,[SANDBOX DATA]
learner_0198,1.3027,[SANDBOX DATA]
learner_0199,0.3992,[SANDBOX DATA]
learner_0200,0.8773,[SANDBOX DATA]
learner_0201,1.5039,[SANDBOX DATA]
learner_0202,0.7428,[SANDBOX DATA]
learner_0203,-0.1952,[SANDBOX DATA]
learner_0204,0.0155,[SANDBOX DATA]
learner_0205,1.3579,[SANDBOX DATA]
learner_0206,0.63,[SANDBOX DATA]
learner_0207,-2.0565,[SANDBOX DATA]
learner_0208,0.1268,[SANDBOX DATA]
