learner_id,item_id,response,probability,data_source
learner_0001,item_0001,0,0.225306,[SANDBOX DATA]
learner_0001,item_0002,0,0.35169,[SANDBOX DATA]
learner_0001,item_0003,0,0.187116,[SANDBOX DATA]
learner_0001,item_0004,0,0.310992,[SANDBOX DATA]
learner_0001,item_0005,1,0.897736,[SANDBOX DATA]
learner_0001,item_0006,1,0.894601,[SANDBOX DATA]
learner_0001,item_0007,0,0.561358,[SANDBOX DATA]
learner_0001,item_0008,0,0.716746,[SANDBOX DATA]
learner_0001,item_0009,0,0.06375,[SANDBOX DATA]
learner_0001,item_0010,1,0.868145,[SANDBOX DATA]
learner_0001,item_0011,1,0.436965,[SANDBOX DATA]
learner_0001,item_0012,0,0.627222,[SANDBOX DATA]
learner_0001,item_0013,1,0.848354,[SANDBOX DATA]
learner_0001,item_0014,0,0.316972,[SANDBOX DATA]
learner_0001,item_0015,1,0.624909,[SANDBOX DATA]
learner_0001,item_0016,1,0.627545,[SANDBOX DATA]
learner_0001,item_0017,1,0.522691,[SANDBOX DATA]
learner_0001,item_0018,1,0.725191,[SANDBOX DATA]
learner_0001,item_0019,0,0.495996,[SANDBOX DATA]
learner_0001,item_0020,0,0.482262,[SANDBOX DATA]
learner_0001,item_0021,1,0.972121,[SANDBOX DATA]
learner_0001,item_0022,1,0.680615,[SANDBOX DATA]
learner_0001,item_0023,1,0.858839,[SANDBOX DATA]
learner_0001,item_0024,0,0.101268,[SANDBOX DATA]
learner_0001,item_0025,1,0.877056,[SANDBOX DATA]
learner_0001,item_0026,1,0.682368,[SANDBOX DATA]
learner_0001,item_0027,1,0.287067,[SANDBOX DATA]
learner_0001,item_0028,0,0.114004,[SANDBOX DATA]
learner_0001,item_0029,1,0.929389,[SANDBOX DATA]
learner_0001,item_0030,0,0.745313,[SANDBOX DATA]
learner_0001,item_0031,1,0.7376,[SANDBOX DATA]
learner_0001,item_0032,0,0.288405,[SANDBOX DATA]
learner_0001,item_0033,0,0.623968,[SANDBOX DATA]
learner_0001,item_0034,1,0.53719,[SANDBOX DATA]
learner_0001,item_0035,1,0.963752,[SANDBOX DATA]
learner_0001,item_0036,1,0.556273,[SANDBOX DATA]
learner_0001,item_0037,1,0.47633,[SANDBOX DATA]
learner_0001,item_0038,1,0.714636,[SANDBOX DATA]
learner_0001,item_0039,0,0.46789,[SANDBOX DATA]
learner_0001,item_0040,1,0.955834,[SANDBOX DATA]
learner_0001,item_0041,0,0.299318,[SANDBOX DATA]
learner_0001,item_0042,1,0.487433,[SANDBOX DATA]
learner_0001,item_0043,0,0.184005,[SANDBOX DATA]
learner_0001,item_0044,0,0.490051,[SANDBOX DATA]
learner_0001,item_0045,0,0.47353,[SANDBOX DATA]
learner_0001,item_0046,1,0.406967,[SANDBOX DATA]
learner_0001,item_0047,0,0.527525,[SANDBOX DATA]
learner_0001,item_0048,0,0.558168,[SANDBOX DATA]
learner_0001,item_0049,1,0.867743,[SANDBOX DATA]
learner_0001,item_0050,0,0.325005,[SANDBOX DATA]
learner_0001,item_0051,1,0.871588,[SANDBOX DATA]
