learner_id,interaction_id,item_id,competency_id,timestamp,difficulty,correct,response_time_sec,hint_used,attempt_number,mastery_before,mastery_after,learning_state,data_source
learner_0001,learner_0001_interaction_001,item_0174,Population and housing census methodology,2026-01-04T09:00:00,easy,0,25.8,0,1,0.1593,0.1575,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_002,item_0060,Population and housing census methodology,2026-01-04T09:13:00,easy,0,15.27,1,2,0.1575,0.161,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_003,item_0002,Population and housing census methodology,2026-01-04T09:21:00,medium,0,31.87,1,3,0.161,0.1778,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_004,item_0024,Population and housing census methodology,2026-01-04T09:29:00,medium,0,28.29,1,4,0.1778,0.1712,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_005,item_0097,Population and housing census methodology,2026-01-04T09:36:00,hard,1,114.73,1,5,0.1712,0.5502,needs_practice,[SANDBOX DATA]
learner_0001,learner_0001_interaction_006,item_0012,Population and housing census methodology,2026-01-04T09:52:00,medium,0,47.35,0,6,0.5502,0.2613,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_007,item_0042,Population and housing census methodology,2026-01-04T10:02:00,medium,0,45.93,1,7,0.2613,0.1929,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_008,item_0119,Population and housing census methodology,2026-01-04T10:08:00,easy,0,30.63,0,8,0.1929,0.1802,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_009,item_0059,Population and housing census methodology,2026-01-04T10:23:00,easy,0,22.12,0,9,0.1802,0.1851,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_010,item_0055,Population and housing census methodology,2026-01-04T10:36:00,medium,0,63.2,1,10,0.1851,0.1659,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_011,item_0192,Population and housing census methodology,2026-01-04T10:56:00,hard,0,36.66,0,11,0.1659,0.1855,struggling,[SANDBOX DATA]
learner_0001,learner_0001_interaction_012,item_0024,Population and housing census methodology,2026-01-04T11:03:00,medium,0,21.81,0,12,0.1855,0.1789,struggling,[SANDBOX DATA]
