learner_id,session_id,session_number,timestamp,learning_state,session_duration_minutes,questions_attempted,questions_completed,correct_answers,accuracy,average_response_time_seconds,hints_used,completion_rate,engagement_score,intervention_received,mastery_before,mastery_after,mastery_change,session_quality_score,data_source
learner_0001,session_0001_01,1,2026-01-01T09:00:00,improving,34.75,9,8,7,0.7778,18.94,2,0.8889,0.8174,True,0.7076,0.7772,0.0696,0.8135,[SANDBOX DATA]
learner_0001,session_0001_02,2,2026-01-06T09:00:00,needs_practice,29.48,15,10,10,0.6667,19.99,7,0.6667,0.6626,True,0.7772,0.8368,0.0596,0.6392,[SANDBOX DATA]
learner_0001,session_0001_03,3,2026-01-09T09:00:00,improving,20.9,12,9,10,0.8333,14.5,2,0.75,0.832,False,0.8368,0.8954,0.0586,0.8122,[SANDBOX DATA]
learner_0001,session_0001_04,4,2026-01-15T09:00:00,needs_practice,32.54,11,8,7,0.6364,22.56,3,0.7273,0.6431,False,0.8954,0.8954,0.0,0.6786,[SANDBOX DATA]
learner_0001,session_0001_05,5,2026-01-19T09:00:00,improving,19.99,9,7,6,0.6667,20.06,2,0.7778,0.793,False,0.8954,0.9582,0.0628,0.7419,[SANDBOX DATA]
learner_0001,session_0001_06,6,2026-01-22T09:00:00,improving,22.13,13,10,9,0.6923,10.23,2,0.7692,0.8198,True,0.9582,1.0,0.0418,0.7678,[SANDBOX DATA]
learner_0001,session_0001_07,7,2026-01-28T09:00:00,mastered,16.15,20,20,17,0.85,8.18,2,1.0,0.8424,False,1.0,1.0,0.0,0.896,[SANDBOX DATA]
learner_0001,session_0001_08,8,2026-02-01T09:00:00,mastered,22.72,14,12,12,0.8571,5.9,0,0.8571,0.8002,False,1.0,1.0,0.0,0.8743,[SANDBOX DATA]
learner_0002,session_0002_01,1,2026-01-01T09:00:00,struggling,15.87,7,4,1,0.1429,28.72,3,0.5714,0.4217,True,0.2651,0.2788,0.0138,0.3915,[SANDBOX DATA]
learner_0002,session_0002_02,2,2026-01-07T09:00:00,struggling,23.76,8,4,3,0.375,25.9,2,0.5,0.4451,True,0.2788,0.3879,0.1091,0.4953,[SANDBOX DATA]
learner_0002,session_0002_03,3,2026-01-08T09:00:00,improving,11.85,11,10,7,0.6364,12.48,0,0.9091,0.7926,True,0.3879,0.4153,0.0274,0.8085,[SANDBOX DATA]
learner_0002,session_0002_04,4,2026-01-12T09:00:00,mastered,17.66,12,12,10,0.8333,15.32,2,1.0,0.8078,False,0.4153,0.436,0.0208,0.8699,[SANDBOX DATA]
learner_0002,session_0002_05,5,2026-01-18T09:00:00,mastered,14.31,11,11,9,0.8182,6.54,2,1.0,0.8928,False,0.436,0.4553,0.0193,0.8786,[SANDBOX DATA]
learner_0002,session_0002_06,6,2026-01-20T09:00:00,mastered,19.44,18,15,16,0.8889,13.21,1,0.8333,0.7705,True,0.4553,0.5194,0.0641,0.8624,[SANDBOX DATA]
learner_0002,session_0002_07,7,2026-01-23T09:00:00,mastered,12.22,14,14,12,0.8571,8.99,0,1.0,0.9926,True,0.5194,0.5485,0.0292,0.9485,[SANDBOX DATA]
learner_0002,session_0002_08,8,2026-01-27T09:00:00,mastered,13.4,17,16,15,0.8824,11.32,2,0.9412,0.8413,False,0.5485,0.5786,0.03,0.8888,[SANDBOX DATA]
learner_0002,session_0002_09,9,2026-01-29T09:00:00,mastered,17.05,23,22,21,0.913,9.41,0,0.9565,0.8983,False,0.5786,0.6217,0.0432,0.9383,[SANDBOX DATA]
learner_0002,session_0002_10,10,2026-02-04T09:00:00,improving,22.61,14,11,11,0.7857,21.54,5,0.7857,0.6082,False,0.6217,0.6402,0.0184,0.7216,[SANDBOX DATA]
learner_0002,session_0002_11,11,2026-02-09T09:00:00,needs_practice,24.93,11,10,6,0.5455,11.97,4,0.9091,0.517,False,0.6402,0.7061,0.0659,0.6489,[SANDBOX DATA]
learner_0003,session_0003_01,1,2026-01-01T09:00:00,mastered,20.29,20,18,17,0.85,10.93,0,0.9,0.8693,True,0.8892,0.9229,0.0338,0.8964,[SANDBOX DATA]
learner_0003,session_0003_02,2,2026-01-06T09:00:00,mastered,21.23,18,16,16,0.8889,9.12,3,0.8889,0.9053,False,0.9229,0.9801,0.0572,0.8811,[SANDBOX DATA]
learner_0003,session_0003_03,3,2026-01-07T09:00:00,mastered,31.22,15,15,12,0.8,12.12,0,1.0,0.7404,False,0.9801,1.0,0.0199,0.8781,[SANDBOX DATA]
learner_0003,session_0003_04,4,2026-01-09T09:00:00,needs_practice,32.9,13,11,7,0.5385,19.37,5,0.8462,0.4147,True,1.0,1.0,0.0,0.606,[SANDBOX DATA]
learner_0003,session_0003_05,5,2026-01-14T09:00:00,needs_practice,16.22,11,8,4,0.3636,27.69,3,0.7273,0.5358,True,1.0,1.0,0.0,0.5617,[SANDBOX DATA]
learner_0003,session_0003_06,6,2026-01-19T09:00:00,needs_practice,34.98,16,10,10,0.625,19.1,7,0.625,0.6992,True,1.0,1.0,0.0,0.6273,[SANDBOX DATA]
learner_0003,session_0003_07,7,2026-01-21T09:00:00,improving,32.51,17,14,10,0.5882,14.7,7,0.8235,0.9009,False,1.0,1.0,0.0,0.7096,[SANDBOX DATA]
learner_0003,session_0003_08,8,2026-01-22T09:00:00,needs_practice,19.6,8,6,5,0.625,10.09,3,0.75,0.6531,True,1.0,1.0,0.0,0.6619,[SANDBOX DATA]
learner_0003,session_0003_09,9,2026-01-24T09:00:00,needs_practice,17.25,11,8,7,0.6364,29.56,6,0.7273,0.6416,True,1.0,1.0,0.0,0.6238,[SANDBOX DATA]
learner_0003,session_0003_10,10,2026-01-25T09:00:00,needs_practice,20.71,11,8,5,0.4545,16.14,5,0.7273,0.6209,False,1.0,1.0,0.0,0.5742,[SANDBOX DATA]
learner_0003,session_0003_11,11,2026-01-31T09:00:00,struggling,26.71,7,4,1,0.1429,15.99,4,0.5714,0.4619,False,1.0,1.0,0.0,0.371,[SANDBOX DATA]
learner_0004,session_0004_01,1,2026-01-01T09:00:00,improving,31.96,16,13,12,0.75,17.59,2,0.8125,0.7957,True,0.7011,0.7664,0.0654,0.7998,[SANDBOX DATA]
learner_0004,session_0004_02,2,2026-01-07T09:00:00,improving,23.99,18,15,9,0.5,12.24,5,0.8333,0.7958,False,0.7664,0.8446,0.0782,0.6869,[SANDBOX DATA]
