learner_id,day,date,mastery,mastery_before_decay,decay_amount,intervention_count,intervention_boost,days_since_learning,retention_factor,learning_state,data_source
learner_0001,1,2026-01-01,0.1626,0.1512,0.0,1,0.0055,0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,2,2026-01-02,0.1702,0.1626,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,3,2026-01-03,0.1515,0.1702,0.003,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0001,4,2026-01-04,0.1357,0.1515,0.0054,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0001,5,2026-01-05,0.1296,0.1357,0.0071,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0001,6,2026-01-06,0.2042,0.1296,0.009,1,0.0838,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0001,7,2026-01-07,0.1974,0.2042,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,8,2026-01-08,0.2009,0.1974,0.0035,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0001,9,2026-01-09,0.2001,0.2009,0.0071,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0001,10,2026-01-10,0.1901,0.2001,0.0105,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0001,11,2026-01-11,0.1859,0.1901,0.0132,0,0.0,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0001,12,2026-01-12,0.1738,0.1859,0.016,1,0.0108,5,0.9139,needs_practice,[SANDBOX DATA]
learner_0001,13,2026-01-13,0.1768,0.1738,0.0,0,0.0,0,1.0,needs_practice,[SANDBOX DATA]
learner_0001,14,2026-01-14,0.166,0.1768,0.0032,0,0.0,1,0.9822,needs_practice,[SANDBOX DATA]
learner_0001,15,2026-01-15,0.1671,0.166,0.0059,0,0.0,2,0.9646,needs_practice,[SANDBOX DATA]
learner_0001,16,2026-01-16,0.1579,0.1671,0.0088,0,0.0,3,0.9474,needs_practice,[SANDBOX DATA]
learner_0001,17,2026-01-17,0.1455,0.1579,0.011,0,0.0,4,0.9305,needs_practice,[SANDBOX DATA]
learner_0001,18,2026-01-18,0.1275,0.1455,0.0125,0,0.0,5,0.9139,needs_practice,[SANDBOX DATA]
learner_0001,19,2026-01-19,0.1242,0.1275,0.0131,0,0.0,6,0.8976,needs_practice,[SANDBOX DATA]
learner_0001,20,2026-01-20,0.1083,0.1242,0.0147,0,0.0,7,0.8816,needs_practice,[SANDBOX DATA]
learner_0001,21,2026-01-21,0.0904,0.1083,0.0145,0,0.0,8,0.8659,needs_practice,[SANDBOX DATA]
learner_0001,22,2026-01-22,0.074,0.0904,0.0135,0,0.0,9,0.8504,needs_practice,[SANDBOX DATA]
